Project_ID,project_name,category,department,contractor,ward_id,start_date,end_date,budget_sanctioned,budget_released,budget_used,status
PRJ00155,Ambulance Service Setup - Phase 2 (Seemapuri) [155],Healthcare,Municipal Corp,Royal Contracting Group,W23,01-09-2025,25-02-2026,16570464,16273726,13497168,Running
PRJ00156,Temple Approach Road - Phase 2 (Azad Market) [156],Religious,Municipal Corp,Metro Contracting Co.,W05,09-03-2025,26-08-2025,10421727,6603737,5924312,Running
PRJ00157,Health Camp Program - Phase 1 (Azad Market) [157],Healthcare,Municipal Corp,Royal Engineers Pvt Ltd,W05,02-12-2024,01-01-2026,5520872,4244559,2379148,Pending
PRJ00158,Community Centre Upgrade - Phase 2 (Ashok Nagar) [158],Welfare,Municipal Corp,Prime Works Co.,W09,10-09-2024,11-10-2024,9097654,7175727,5932275,Running
PRJ00159,Bus Stop Shelter - Phase 3 (Saraswati Park) [159],Infrastructure,Municipal Corp,Maa Enterprises Group,W06,10-02-2025,17-10-2025,2977463,1912860,1527875,Running
PRJ00160,Footpath Repair - Phase 2 (Ambedkar Nagar) [160],Infrastructure,PWD,Shree Engineers LLP,W12,04-09-2024,29-05-2025,12743080,7811593,7607371,Completed
PRJ00161,Library Upgrade - Phase 1 (Nehru Vihar) [161],Education,Municipal Corp,Om Contracting Group,W03,01-01-2024,27-06-2024,3003254,2380385,2338302,Completed
PRJ00162,Anganwadi Renovation - Phase 3 (Nehru Vihar) [162],Education,Municipal Corp,Urban Developers Pvt Ltd,W03,29-03-2024,31-01-2025,15523255,13136818,11683659,Completed
PRJ00163,Clinic Upgrade - Phase 1 (Tilak Nagar) [163],Healthcare,Health Dept,Shree Works Co.,W16,19-09-2024,23-10-2024,10254241,7085328,4307880,Running
PRJ00164,Community Centre Upgrade - Phase 1 (Patel Nagar) [164],Welfare,Municipal Corp,Om Builders LLP,W14,26-01-2025,19-12-2025,18441175,12539139,10823653,Completed
PRJ00165,School Boundary Wall - Phase 3 (Kalyanpuri) [165],Education,Municipal Corp,Om Works Group,W22,01-06-2025,23-01-2026,6516247,4808492,3009719,Running
PRJ00166,Smart Classroom Setup - Phase 3 (Rajendra Nagar) [166],Education,Municipal Corp,Maa Projects Pvt Ltd,W10,16-06-2025,24-12-2025,12625939,10171266,8036788,Running
PRJ00167,Road Resurfacing - Phase 2 (Civil Lines) [167],Infrastructure,Municipal Corp,Prime Works Pvt Ltd,W21,27-01-2024,10-09-2024,6239283,4816158,3340900,Running
PRJ00168,Public Toilets Maintenance - Phase 1 (Patel Nagar) [168],Welfare,Municipal Corp,Sai Builders & Sons,W14,28-11-2025,22-04-2026,10172844,8007917,6872204,Running
PRJ00169,Footpath Repair - Phase 3 (Civil Lines) [169],Infrastructure,Municipal Corp,Green Builders Group,W21,25-10-2024,09-12-2024,14391202,14341801,13937516,Completed
PRJ00170,Ambulance Service Setup - Phase 3 (Kalyanpuri) [170],Healthcare,Municipal Corp,Green Projects LLP,W22,29-04-2025,23-12-2025,12024227,7807855,7609166,Completed
PRJ00171,Gurudwara Renovation - Phase 1 (Azad Market) [171],Religious,Municipal Corp,Om Builders Co.,W05,17-10-2025,24-07-2026,9563441,8713153,8627000,Completed
PRJ00172,Storm Drain Repair - Phase 1 (Kalyanpuri) [172],Infrastructure,PWD,Prime Enterprises Pvt Ltd,W22,20-06-2025,18-09-2025,9575009,6048423,4771459,Running
PRJ00173,Smart Classroom Setup - Phase 3 (Mayur Vihar) [173],Education,Education Dept,Urban Infra Group,W25,13-11-2024,11-05-2025,16095240,14316157,10623866,Running
PRJ00174,Community Prayer Hall Repair - Phase 2 (Azad Market) [174],Religious,Municipal Corp,Metro Projects Co.,W05,10-09-2024,09-04-2025,16405485,10628476,9911397,Completed
PRJ00175,Library Upgrade - Phase 1 (Tagore Garden) [175],Education,Municipal Corp,Royal Projects Pvt Ltd,W08,23-06-2025,27-07-2026,5661705,5403375,2976180,Pending
PRJ00176,Sports Lighting - Phase 1 (Saraswati Park) [176],Sports,Sports Authority,Shree Works & Sons,W06,16-01-2025,05-02-2026,10405890,7064873,4964939,Running
PRJ00177,Footpath Repair - Phase 2 (Civil Lines) [177],Infrastructure,Municipal Corp,Shree Infra & Sons,W21,11-02-2025,25-12-2025,5153314,3621133,2205748,Running
PRJ00178,Women Help Desk Setup - Phase 1 (Ambedkar Nagar) [178],Police,PWD,Sai Infra LLP,W12,12-10-2024,03-10-2025,3113366,2728618,2033070,Running
PRJ00179,Footpath Repair - Phase 3 (Mayur Vihar) [179],Infrastructure,Municipal Corp,Sai Constructions Group,W25,14-03-2024,11-06-2024,11956313,8304285,5192747,Pending
PRJ00180,Community Prayer Hall Repair - Phase 1 (Kalyanpuri) [180],Religious,Municipal Corp,Om Works Co.,W22,28-01-2024,13-09-2024,7424393,5379490,4700500,Completed
PRJ00181,Bus Stop Shelter - Phase 3 (Azad Market) [181],Infrastructure,Municipal Corp,Metro Infra LLP,W05,13-08-2024,28-07-2025,5996863,4440430,3598908,Running
PRJ00182,Street Light Upgrade - Phase 2 (Indira Chowk) [182],Infrastructure,PWD,Royal Builders Co.,W11,02-08-2025,19-10-2025,1014072,953279,906540,Completed
PRJ00183,Road Resurfacing - Phase 2 (Patel Nagar) [183],Infrastructure,PWD,Sai Contracting Group,W14,13-11-2024,15-07-2025,11694097,8531689,7342587,Completed
PRJ00184,Anganwadi Renovation - Phase 2 (Mayur Vihar) [184],Education,Education Dept,Maa Developers Pvt Ltd,W25,03-11-2025,06-06-2026,17568615,12492301,8815600,Running
PRJ00185,Bus Stop Shelter - Phase 2 (Mayur Vihar) [185],Infrastructure,Municipal Corp,Royal Contracting LLP,W25,03-05-2025,29-07-2025,5619666,4453347,3011362,Pending
PRJ00186,Gurudwara Renovation - Phase 2 (Sadar Bazaar) [186],Religious,Municipal Corp,Sai Enterprises & Sons,W18,21-04-2025,16-09-2025,6192086,4474818,4420040,Completed
PRJ00187,Ashram Drinking Water Facility - Phase 1 (Saraswati Park) [187],Religious,Municipal Corp,Shree Projects Co.,W06,14-11-2025,20-04-2026,10147989,9459630,9447619,Completed
PRJ00188,Storm Drain Repair - Phase 1 (Shastri Nagar) [188],Infrastructure,Municipal Corp,Sai Contracting LLP,W01,06-10-2025,01-01-2026,6501994,4350466,3340215,Running
PRJ00189,Community Prayer Hall Repair - Phase 2 (Mayur Vihar) [189],Religious,Municipal Corp,Metro Engineers LLP,W25,15-08-2024,11-06-2025,17488540,16136555,13832753,Running
PRJ00190,Walking Track - Phase 2 (Green Park) [190],Sports,Municipal Corp,Urban Works LLP,W19,28-12-2025,20-01-2027,12118524,11710264,8756170,Running
PRJ00191,Smart Classroom Setup - Phase 3 (Tagore Garden) [191],Education,Education Dept,Green Enterprises LLP,W08,28-05-2025,29-06-2025,6002999,4127942,2696497,Pending
PRJ00192,Women Help Desk Setup - Phase 1 (Rajendra Nagar) [192],Police,Police Dept,Green Developers Co.,W10,11-11-2025,01-08-2026,8390604,7875957,7027438,Completed
PRJ00193,Gurudwara Renovation - Phase 3 (Green Park) [193],Religious,Municipal Corp,National Infra Group,W19,12-11-2025,08-09-2026,13795432,13451027,13421787,Completed
PRJ00194,Footpath Repair - Phase 2 (Subhash Nagar) [194],Infrastructure,PWD,National Engineers Group,W13,21-01-2025,10-09-2025,13239971,9556793,9048263,Completed
PRJ00195,Gurudwara Renovation - Phase 1 (Azad Market) [195],Religious,Municipal Corp,Sai Projects & Sons,W05,17-09-2025,16-02-2026,19336965,12871398,12158129,Completed
PRJ00196,Ambulance Service Setup - Phase 1 (Nehru Vihar) [196],Healthcare,Health Dept,Green Projects Pvt Ltd,W03,04-07-2024,17-02-2025,6773633,4075493,3672085,Completed
PRJ00197,Women Help Desk Setup - Phase 1 (Patel Nagar) [197],Police,Police Dept,Urban Builders Group,W14,23-11-2024,01-11-2025,7108246,4658944,4003592,Running
PRJ00198,Toilet Block Construction - Phase 2 (Shastri Nagar) [198],Education,Education Dept,Prime Infra Co.,W01,28-03-2024,13-05-2025,10028247,8171146,6972935,Completed
PRJ00199,Waste Segregation Unit - Phase 3 (Shastri Nagar) [199],Market,PWD,Metro Developers & Sons,W01,27-02-2024,15-12-2024,1082554,766452,603099,Running
PRJ00200,Bus Stop Shelter - Phase 3 (Lajpat Enclave) [200],Infrastructure,Municipal Corp,Maa Works Pvt Ltd,W04,16-12-2024,20-02-2025,5443012,4775940,3158618,Running
